id,latitude,longitude
1,28.63133,77.37373
2,28.6189,77.37383
3,28.61761,77.37978
4,28.61085,77.35435
5,28.60087,77.37241
6,28.61794,77.36456
7,28.6315,77.35533
8,28.62408,77.36495
9,28.61873,77.34156
10,28.63237,77.33825
11,28.62231,77.33224
12,28.60573,77.33353
13,28.60012,77.35151
14,28.61033,77.37284
15,28.6182,77.35512
16,28.62743,77.38164
17,28.65624,77.37662
18, 28 .64818,77.35945
19,28.64517,77.37889
20,28.63933,77.3704
21,28.62619,77.34838
22,28.61436,77.34825
23,28.62106,77.35941
24,28.62517,77.37443
25,28.60792,77.3419
